Range in Decimals

Start - Stop
1 1 - 1
2 2 - 3
3 4 - 7
4 8 - 15
5 16 - 31
6 32 - 63
7 64 - 127
8 128 - 255
9 256 - 511
10 512 - 1023
11 1024 - 2047
12 2048 - 4095
13 4096 - 8191
14 8192 - 16383
15 16384 - 32767
16 32768 - 65535
17 65536 - 131071
18 131072 - 262143
19 262144 - 524287
20 524288 - 1048575
21 1048576 - 2097151
22 2097152 - 4194303
23 4194304 - 8388607
24 8388608 - 16777215
25 16777216 - 33554431
26 33554432 - 67108863
27 67108864 - 134217727
28 134217728 - 268435455
29 268435456 - 536870911
30 536870912 - 1073741823
31 1073741824 - 2147483647
32 2147483648 - 4294967295
33 4294967296 - 8589934591
34 8589934592 - 17179869183
35 17179869184 - 34359738367
36 34359738368 - 68719476735
37 68719476736 - 137438953471
38 137438953472 - 274877906943
39 274877906944 - 549755813887
40 549755813888 - 1099511627775
41 1099511627776 - 2199023255551
42 2199023255552 - 4398046511103
43 4398046511104 - 8796093022207
44 8796093022208 - 17592186044415
45 17592186044416 - 35184372088831
46 35184372088832 - 70368744177663
47 70368744177664 - 140737488355327
48 140737488355328 - 281474976710655
49 281474976710656 - 562949953421311
50 562949953421312 - 1125899906842623
51 1125899906842624 - 2251799813685247
52 2251799813685248 - 4503599627370495
53 4503599627370496 - 9007199254740991
54 9007199254740992 - 18014398509481983
55 18014398509481984 - 36028797018963967
56 36028797018963968 - 72057594037927935
57 72057594037927936 - 144115188075855871
58 144115188075855872 - 288230376151711743
59 288230376151711744 - 576460752303423487
60 576460752303423488 - 1152921504606846975
61 1152921504606846976 - 2305843009213693951
62 2305843009213693952 - 4611686018427387903
63 4611686018427387904 - 9223372036854775807
64 9223372036854775808 - 18446744073709551615
65 18446744073709551616 - 36893488147419103231
66 36893488147419103232 - 73786976294838206463
67 73786976294838206464 - 147573952589676412927
68 147573952589676412928 - 295147905179352825855
69 295147905179352825856 - 590295810358705651711
70 590295810358705651712 - 1180591620717411303423
71 1180591620717411303424 - 2361183241434822606847
